f/ Hz,Re(V)/ V,Im(V)/ V
8.00E+03,7.70236105578608e-02,-3.38110695641561e-03
8.02E+03,7.71336360135282e-02,-3.39803250908581e-03
8.03E+03,7.72442085844146e-02,-3.41506222711098e-03
8.05E+03,7.73553315994424e-02,-3.43219702208721e-03
8.07E+03,7.74670084162718e-02,-3.44943781537996e-03
8.09E+03,7.75792424216032e-02,-3.46678553825063e-03
8.10E+03,7.76920370314843e-02,-3.48424113198510e-03
8.12E+03,7.78053956916195e-02,-3.50180554802418e-03
8.14E+03,7.79193218776850e-02,-3.51947974809599e-03
8.15E+03,7.80338190956466e-02,-3.53726470435049e-03
8.17E+03,7.81488908820821e-02,-3.55516139949587e-03
8.19E+03,7.82645408045081e-02,-3.57317082693719e-03
8.20E+03,7.83807724617102e-02,-3.59129399091703e-03
8.22E+03,7.84975894840781e-02,-3.60953190665836e-03
8.24E+03,7.86149955339453e-02,-3.62788560050953e-03
8.26E+03,7.87329943059317e-02,-3.64635611009160e-03
8.27E+03,7.88515895272929e-02,-3.66494448444785e-03
8.29E+03,7.89707849582718e-02,-3.68365178419560e-03
8.31E+03,7.90905843924563e-02,-3.70247908168049e-03
8.32E+03,7.92109916571410e-02,-3.72142746113301e-03
8.34E+03,7.93320106136939e-02,-3.74049801882758e-03
8.36E+03,7.94536451579273e-02,-3.75969186324402e-03
8.37E+03,7.95758992204744e-02,-3.77901011523164e-03
8.39E+03,7.96987767671706e-02,-3.79845390817581e-03
8.41E+03,7.98222817994391e-02,-3.81802438816721e-03
8.43E+03,7.99464183546827e-02,-3.83772271417368e-03
8.44E+03,8.00711905066800e-02,-3.85755005821487e-03
8.46E+03,8.01966023659872e-02,-3.87750760553956e-03
8.48E+03,8.03226580803447e-02,-3.89759655480581e-03
8.49E+03,8.04493618350903e-02,-3.91781811826402e-03
8.51E+03,8.05767178535764e-02,-3.93817352194286e-03
8.53E+03,8.07047303975940e-02,-3.95866400583815e-03
8.54E+03,8.08334037678015e-02,-3.97929082410482e-03
8.56E+03,8.09627423041599e-02,-4.00005524525185e-03
8.58E+03,8.10927503863735e-02,-4.02095855234044e-03
8.60E+03,8.12234324343365e-02,-4.04200204318531e-03
8.61E+03,8.13547929085859e-02,-4.06318703055924e-03
8.63E+03,8.14868363107603e-02,-4.08451484240098e-03
8.65E+03,8.16195671840650e-02,-4.10598682202645e-03
8.66E+03,8.17529901137436e-02,-4.12760432834339e-03
8.68E+03,8.18871097275553e-02,-4.14936873606960e-03
8.70E+03,8.20219306962596e-02,-4.17128143595452e-03
8.71E+03,8.21574577341075e-02,-4.19334383500472e-03
8.73E+03,8.22936955993387e-02,-4.21555735671281e-03
8.75E+03,8.24306490946864e-02,-4.23792344129035e-03
8.77E+03,8.25683230678887e-02,-4.26044354590438e-03
8.78E+03,8.27067224122071e-02,-4.28311914491801e-03
8.80E+03,8.28458520669523e-02,-4.30595173013494e-03
8.82E+03,8.29857170180171e-02,-4.32894281104802e-03
8.83E+03,8.31263222984166e-02,-4.35209391509192e-03
8.85E+03,8.32676729888364e-02,-4.37540658790007e-03
8.87E+03,8.34097742181877e-02,-4.39888239356586e-03
8.88E+03,8.35526311641712e-02,-4.42252291490822e-03
8.90E+03,8.36962490538476e-02,-4.44632975374159e-03
8.92E+03,8.38406331642172e-02,-4.47030453115060e-03
8.94E+03,8.39857888228072e-02,-4.49444888776912e-03
8.95E+03,8.41317214082670e-02,-4.51876448406428e-03
8.97E+03,8.42784363509729e-02,-4.54325300062519e-03
8.99E+03,8.44259391336397e-02,-4.56791613845649e-03
9.00E+03,8.45742352919429e-02,-4.59275561927702e-03
9.02E+03,8.47233304151485e-02,-4.61777318582356e-03
9.04E+03,8.48732301467515e-02,-4.64297060215968e-03
9.06E+03,8.50239401851251e-02,-4.66834965399000e-03
9.07E+03,8.51754662841776e-02,-4.69391214897972e-03
9.09E+03,8.53278142540194e-02,-4.71965991707982e-03
9.11E+03,8.54809899616399e-02,-4.74559481085770e-03
9.12E+03,8.56349993315929e-02,-4.77171870583368e-03
9.14E+03,8.57898483466939e-02,-4.79803350082322e-03
9.16E+03,8.59455430487256e-02,-4.82454111828525e-03
9.17E+03,8.61020895391549e-02,-4.85124350467641e-03
9.19E+03,8.62594939798592e-02,-4.87814263081152e-03
9.21E+03,8.64177625938649e-02,-4.90524049223050e-03
9.23E+03,8.65769016660949e-02,-4.93253910957156e-03
9.24E+03,8.67369175441283e-02,-4.96004052895101e-03
9.26E+03,8.68978166389707e-02,-4.98774682234991e-03
9.28E+03,8.70596054258360e-02,-5.01566008800729e-03
9.29E+03,8.72222904449398e-02,-5.04378245082065e-03
9.31E+03,8.73858783023042e-02,-5.07211606275337e-03
9.33E+03,8.75503756705749e-02,-5.10066310324943e-03
9.34E+03,8.77157892898504e-02,-5.12942577965564e-03
9.36E+03,8.78821259685232e-02,-5.15840632765130e-03
9.38E+03,8.80493925841340e-02,-5.18760701168565e-03
9.40E+03,8.82175960842382e-02,-5.21703012542323e-03
9.41E+03,8.83867434872860e-02,-5.24667799219717e-03
9.43E+03,8.85568418835148e-02,-5.27655296547082e-03
9.45E+03,8.87278984358564e-02,-5.30665742930764e-03
9.46E+03,8.88999203808564e-02,-5.33699379884976e-03
9.48E+03,8.90729150296083e-02,-5.36756452080510e-03
9.50E+03,8.92468897687025e-02,-5.39837207394360e-03
9.51E+03,8.94218520611876e-02,-5.42941896960241e-03
9.53E+03,8.95978094475486e-02,-5.46070775220034e-03
9.55E+03,8.97747695466987e-02,-5.49224099976197e-03
9.57E+03,8.99527400569872e-02,-5.52402132445126e-03
9.58E+03,9.01317287572213e-02,-5.55605137311509e-03
9.60E+03,9.03117435077060e-02,-5.58833382783699e-03
9.62E+03,9.04927922512975e-02,-5.62087140650105e-03
9.63E+03,9.06748830144748e-02,-5.65366686336644e-03
9.65E+03,9.08580239084275e-02,-5.68672298965270e-03
9.67E+03,9.10422231301588e-02,-5.72004261413591e-03
9.68E+03,9.12274889636088e-02,-5.75362860375619e-03
9.70E+03,9.14138297807923e-02,-5.78748386423662e-03
9.72E+03,9.16012540429565e-02,-5.82161134071385e-03
9.74E+03,9.17897703017556e-02,-5.85601401838074e-03
9.75E+03,9.19793872004443e-02,-5.89069492314107e-03
9.77E+03,9.21701134750907e-02,-5.92565712227699e-03
9.79E+03,9.23619579558070e-02,-5.96090372512892e-03
9.80E+03,9.25549295680012e-02,-5.99643788378877e-03
9.82E+03,9.27490373336475e-02,-6.03226279380632e-03
9.84E+03,9.29442903725775e-02,-6.06838169490924e-03
9.85E+03,9.31406979037918e-02,-6.10479787173704e-03
9.87E+03,9.33382692467929e-02,-6.14151465458931e-03
9.89E+03,9.35370138229391e-02,-6.17853542018838e-03
9.91E+03,9.37369411568200e-02,-6.21586359245692e-03
9.92E+03,9.39380608776551e-02,-6.25350264331073e-03
9.94E+03,9.41403827207134e-02,-6.29145609346703e-03
9.96E+03,9.43439165287578e-02,-6.32972751326862e-03
9.97E+03,9.45486722535117e-02,-6.36832052352442e-03
9.99E+03,9.47546599571497e-02,-6.40723879636635e-03
1.00E+04,9.49618898138128e-02,-6.44648605612341e-03
1.00E+04,9.51703721111487e-02,-6.48606608021308e-03
1.00E+04,9.53801172518767e-02,-6.52598270005040e-03
1.01E+04,9.55911357553782e-02,-6.56623980197523e-03
1.01E+04,9.58034382593148e-02,-6.60684132819821e-03
1.01E+04,9.60170355212710e-02,-6.64779127776550e-03
